"sample","animal","tube_no","tissue","SB"
"M9","s195",1,"Lung Tissue",
"M11","h035",2,"Lung Tissue",
"M18","s516",3,"Lung Tissue",
"M19","a004b",4,"Bronchial Ln*",
"M21","a004",5,"Lung Tissue",
"M26","s219",6,"Lung Tissue",
"M29","s623",7,"Lung Tissue",
"M30","s019",8,"Lung Tissue",
"M32","s026",9,"Lung Tissue",
"M34","s348",10,"Lung Tissue",
"a004","a004",,,
"a004b","a004b",,,
"h035","h035",,,
"s019","s019",,,
"s026","s026",,,
"s195","s195",,,
"s348","s348",,,
"s219","s219",,,
"s516","s516",,,
"s623","s623",,,
"Sh23",,,,"SB1176"
"Sh25",,,,"SB1176"
"Sh26",,,,"SB1176"
"SRR8063653",,,,"SB1176"
"SRR8063654",,,,"SB1176"
"SRR8063655",,,,"SB0912"
"SRR8063660",,,,"SB0133"
"SRR8063663",,,,"SB1176"
"ERR4772199",,,,"SB0133"
"SRR5486071",,,,"SB0134"
"SRR8063652",,,,"SB0912"
